"Project:","Mainboard"
"Tool:","kicad"
"Number of Parts ","46"
" "," "
"Reference","Quantity","Value","Package","Distributor","Distributor #"
"C2,C4","2","6pF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","311-1095-1-ND"
"C15","1","39pF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","1276-1769-1-ND"
"C18,C17","2","47pF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","1276-1832-1-ND"
"C20,C19","2","100nF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","311-1245-1-ND"
"C3,C1,C14,C13,C12","5","1uF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","1276-1275-1-ND"
"R1","1","Res","Resistors_SMD:R_1210_HandSoldering","DigiKey","RCWE.51FCT-ND"
"R17","1","Res","Resistors_SMD:R_0805_HandSoldering","DigiKey","311-2.55KCRCT-ND"
"R34,R33","2","27","Resistors_SMD:R_0805_HandSoldering","DigiKey","P27ACT-ND"
"R9","1","730","Resistors_SMD:R_0805_HandSoldering","DigiKey","NA"
"R35,R36","2","730","Resistors_SMD:R_0805_HandSoldering","DigiKey","P732CCT-ND"
"R7,R8,R27,R28","4","1k","Resistors_SMD:R_0805_HandSoldering","DigiKey","P1.0KACT-ND "
"R10,R12","2","1540","Resistors_SMD:R_0805_HandSoldering","DigiKey","P1.54KCCT-ND"
"R11,R13","2","2100","Resistors_SMD:R_0805_HandSoldering","DigiKey","P2.10KCCT-ND"
"R16","1","2550","Resistors_SMD:R_0805_HandSoldering","DigiKey","311-2.55KCRCT-ND"
"R23,R24","2","5k","Resistors_SMD:R_0805_HandSoldering","DigiKey","P4.99KCCT-ND "
"R3,R4,R19,R20,R38,R40,R42","7","10k","Resistors_SMD:R_0805_HandSoldering","DigiKey","P10KACT-ND"
"R6,R18","2","10k","Resistors_SMD:R_0805_HandSoldering","DigiKey","NA"
"R31","1","150k","Resistors_SMD:R_0805_HandSoldering","DigiKey","P150KCCT-ND"
"R14,R15,R29","3","200k","Resistors_SMD:R_0805_HandSoldering","DigiKey","P200KACT-ND"
"R5","1","470k","Resistors_SMD:R_0805_HandSoldering","DigiKey","NA"
"J1","1","ICSP","Pin_Headers:Pin_Header_Straight_2x03","DigiKey","S2011EC-03-ND"
"J2","1","USB","Connect:USB_A","DigiKey","UE27AC54100-ND"
