"Part";"Value";"Device";"Package";"Description";"DIGI-PART-NO";"MAG-STOCK";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";
"C1";"4.7uF";"CAPACITOR0805";"C0805";"";"";"";"";"";"";"";"";
"C2";"20pF";"CAPACITOR0805";"C0805";"";"";"";"";"";"";"";"";
"C3";"10uF";"CAPACITOR0805";"C0805";"";"";"";"";"";"";"";"";
"C4";"0.1uF";"CAPACITOR0805";"C0805";"";"";"";"";"";"";"";"";
"C5";"0.1uF";"CAPACITOR0805";"C0805";"";"";"";"";"";"";"";"";
"C6";"0.1uF";"CAPACITOR0805";"C0805";"";"";"";"";"";"";"";"";
"C7";"0.1uF";"CAPACITOR0805";"C0805";"";"";"";"";"";"";"";"";
"C8";"4.7uF";"CAPACITOR0805";"C0805";"";"";"";"";"";"";"";"";
"C9";"20pF";"CAPACITOR0805";"C0805";"";"";"";"";"";"";"";"";
"C10";"";"CAPACITOR0805";"C0805";"";"";"";"";"";"";"";"";
"C11";"0.01uF";"CAPACITOR0805";"C0805";"";"";"";"";"";"";"";"";
"D1";"9.1V";"ZENERSOT-23";"SOT-23";"Zener Diode";"BZX84C9V1-FDICT-ND";"";"";"";"";"";"";
"D2";"";"ZENERSOD-123";"SOD-123";"Zener Diode";"";"";"";"";"";"";"";
"IC1";"ATMEGA168PTQFP";"ATMEGA168PTQFP";"ADS4_TQFP32-08";"MICROCONTROLLER";"ATMEGA168PA-AURCT-ND";"";"";"";"";"";"";
"IC2";"";"VREGLD1117-XX";"DPAK";"";"";"YES";"";"";"";"";"";
"ISP1";"AVRISP-6";"AVRISP-6";"AVRISP";"AVR ISP HEADER";"";"";"";"";"";"";"";
"LED1";"Power-IND";"LED5MM";"LED5MM";"LED";"365-1189-ND";"";"";"";"";"";"";
"LED2";"GREEN-STATUS-LED";"LED5MM";"LED5MM";"LED";"516-1347-ND";"";"";"";"";"";"";
"Q1";"20MHZ";"CRYSTAL";"20MHZ";"CRYSTAL";"XC1291CT-ND";"";"";"";"";"";"";
"Q2";"MOSFET-NCHANNEL2N7002PW";"MOSFET-NCHANNEL2N7002PW";"SOT323";"Common NMOSFET Parts";"";"";"";"";"";"";"TRANS-11151";
"R1";"10k";"POTENTIOMETER";"POT_RS3";"Bourns 3386 Series PTH Potentiometer";"";"";"";"";"";"";"";
"R2";"65";"RESISTOR0805";"R0805";"";"";"";"";"";"";"";"";
"R3";"100k";"RESISTOR0805";"R0805";"";"";"";"";"";"";"";"";
"R4";"100K";"RESISTOR0805";"R0805";"";"";"";"";"";"";"";"";
"R5";"220";"RESISTOR0805";"R0805";"";"";"";"";"";"";"";"";
"R6";"220";"RESISTOR0805";"R0805";"";"";"";"";"";"";"";"";
"R7";"220";"RESISTOR0805";"R0805";"";"";"";"";"";"";"";"";
"R8";"220";"RESISTOR0805";"R0805";"";"";"";"";"";"";"";"";
"R9";"825";"RESISTOR0805";"R0805";"";"";"";"";"";"";"";"";
"R10";"90";"RESISTOR0805";"R0805";"";"";"";"";"";"";"";"";
"R11";"2";"RESISTOR0805";"R0805";"";"";"";"";"";"";"";"";
"R12";"330";"RESISTOR0805";"R0805";"";"";"";"";"";"";"";"";
"U$1";"ROTARY-ENCODER";"ROTARY-ENCODER";"ROTARY-ENCODER";"";"987-1186-ND";"";"";"";"";"";"";
"U$2";"SW-TACT";"SW-TACT";"FSM15JLH";"";"";"";"";"";"";"";"";
"U$3";"CUI-DC-JACKPJ002A";"CUI-DC-JACKPJ002A";"PJ002A";"";"";"";"";"";"";"";"";
"U$6";"P-MOSFET-MAGNUM";"P-MOSFET-MAGNUM";"SOT23";"";"";"YES";"";"";"";"";"";
"X1";"NHD-0420H1Z-FL-GBW-33V3-ND";"HD44780LCD";"NEWHAVEN-LCD";"NEWHAVEN  NHD-0420H1Z-FL-GBW-33V3 Character Display";"NHD-0420H1Z-FL-GBW-33V3-ND";"";"";"";"";"";"";
"X2";"C-GRID-03-70553";"C-GRID-03-70553";"70553-03";"CONNECTOR";"";"";"";"";"unknown";"unknown";"";
