"Project:",""
" "," "
" "," "
"Reference","Value"
"U1","Trinket-PRO"
"U3","Neo-Pixel"
"U2","LTC1731-4.2"
"L2","""Nichrome Wire"""
"Q5","MOSFET_N"
"R8","1M"
"C2","0.1uF"
"Q1","MOSFET_P"
"R4","0.4"
"R3","19.6k"
"D1","DIODESCH"
"BT1","BATTERY"
"C4","10uF"
"F1","PTC-920mA"
"R1","2k"
"R2","100k"
"C1","10uF"
"SW1","SW_PUSH"
"SW2","SW_PUSH"
"R9","""7.5, 2W"""
"Q2","MOS_P"
"D2","DIODESCH"
"U4","LTC3621"
"L1","6.8uH"
"R6","900k"
"R7","200k"
"C5","10uF"
"C8","22pF"
"C9","22uF"
"R5","1M"
"U5","SPI-Therm"
"U6","SPI-Therm"
"Q4","2N3904"
"Q3","2N3904"
"C6","2200pF"
"C7","2200pF"
"C3","10uF"
"P1","""Wall PWR"""
