"Project:","Top"
"Tool:","kicad"
"Number of Parts ","44"
" "," "
"Reference","Quantity","Value","Package","Distributor","Distributor #"
"C14,C15","2","1000pF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","399-1147-2-ND"
"C6,C7","2","10nF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","C0805C102K5RACTU"
"C23","1","10nF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","445-2672-1-ND"
"C5,C8","2","1uF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","1276-1066-1-ND"
"C16,C17,C18,C22","4","1uF","Capacitors_SMD:C_0805_HandSoldering","DigiKey","445-2672-1-ND"
"R35,R36,R37","3","Rus","Resistors_SMD:R_0805_HandSoldering","DigiKey","NA"
"R26,R27,R28,R29,R38","5","100","Resistors_SMD:R_0805_HandSoldering","DigiKey","P100CCT-ND"
"R24,R25,R30,R31","4","499","Resistors_SMD:R_0805_HandSoldering","DigiKey","RMCF0805FT499RCT-ND"
"R44,R43","2","499","Resistors_SMD:R_0805_HandSoldering","DigiKey","A103454CT-N"
"R6","1","665","Resistors_SMD:R_0805_HandSoldering","DigiKey","P665CCT-ND"
"R12","1","2210","Resistors_SMD:R_0805_HandSoldering","DigiKey","RR12P2.21KDCT-ND"
"R11","1","4420","Resistors_SMD:R_0805_HandSoldering","DigiKey","P4.42KCCT-ND"
"R14,R16,R19,R20,R21,R45","6","10k","Resistors_SMD:R_0805_HandSoldering","DigiKey","P10KACT-ND"
"R7,R5,R3","3","20k","Resistors_SMD:R_0805_HandSoldering","DigiKey","RR12P20.0KDCT-ND"
"R13","1","100k","Resistors_SMD:R_0805_HandSoldering","DigiKey","P100KACT-ND"
"R23,R4","2","1M","Resistors_SMD:R_0805_HandSoldering","DigiKey","P1.00MCCT-ND "
"L1","1","15uH","Resistors_SMD:R_1210_HandSoldering","DigiKey","587-3027-1-ND"
"U5","1","bq2920","Solar_Charger:bq2920x","DigiKey","296-27677-1-ND"
"J1","1","USB","Local_Solar_Charger:double_usb","NA","NA"
"U7","1","Motor","Pin_Headers:Pin_Header_Straight_1x05","DigiKey","NA"
